1:5,8,3,5,3,8,3,2,3,5,8,1,4,6,4,1,1,3,9,8,4,1,9,8,4,4,1,3,4,4
2:5,5,3,3,3,1,8,9,4,8,8,6,1,1,5,5,1,5,4,4,7,8,6,7,5,7,5,2,7,4
3:7,9,3,4,7,8,8,9,1,4,3,7,5,1,4,3,3,2,2,4,4,4,9,5,8,3,6,7,7,4
4:5,1,5,3,7,5,6,7,9,3,7,1,2,8,1,6,3,6,8,5,3,2,2,1,4,8,1,5,2,6
5:7,6,4,3,1,2,9,4,4,8,4,7,1,2,1,6,5,8,4,4,3,6,8,9,9,2,4,3,9,2
6:6,5,7,8,4,3,2,1,8,9,8,1,7,5,1,3,6,2,4,4,9,1,6,6,8,5,6,3,7,3
7:1,7,1,7,9,3,7,9,2,8,3,3,6,4,8,8,5,2,5,5,4,2,6,2,5,8,9,7,3,4
8:8,2,9,4,1,8,5,1,6,2,6,1,4,9,2,9,7,3,4,3,2,2,1,1,2,6,5,4,1,1
9:8,1,4,3,9,7,6,1,3,8,1,9,7,2,7,7,2,2,5,4,2,4,9,1,1,3,9,3,4,3
10:4,2,4,6,5,2,7,5,9,7,2,7,7,1,4,1,4,1,4,8,4,1,4,9,6,6,4,6,1,7
11:3,6,2,8,2,7,3,4,6,5,1,3,1,1,9,7,5,9,7,9,9,7,8,2,5,4,6,3,8,9
12:6,4,1,7,9,6,3,6,1,6,8,3,6,8,7,4,2,9,8,7,3,8,4,7,8,4,6,6,3,2
13:8,5,8,2,3,3,2,7,9,2,3,5,5,7,7,5,9,3,4,3,6,1,4,1,6,9,4,4,8,8
14:5,6,8,1,8,3,5,8,6,6,6,1,5,2,1,5,9,2,5,9,3,7,6,8,1,1,5,8,6,8
15:8,4,6,8,2,1,4,3,1,5,2,6,1,8,4,1,6,3,4,8,3,4,2,9,9,7,7,1,1,7
16:8,5,9,6,4,9,2,5,9,2,7,1,2,5,2,8,4,1,4,1,7,1,7,8,3,4,4,9,6,5
17:7,8,7,8,5,1,1,1,4,2,6,6,3,3,6,9,6,5,1,1,6,4,5,5,1,1,9,7,7,6
18:7,1,3,3,9,8,9,1,7,4,8,2,7,7,5,1,5,2,6,7,7,9,9,4,2,6,8,9,3,7
19:3,3,3,7,9,1,9,7,5,4,3,1,2,4,7,1,2,8,5,1,5,9,6,9,4,6,4,9,2,9
